"Date","Price","Open","High","Low","Vol.","Change %"
"May 25, 2015","170.69","173.30","173.30","170.00","877.82K","-1.54%"
"May 26, 2015","172.34","170.82","173.20","169.19","912.78K","0.97%"
"May 27, 2015","174.09","171.00","174.76","169.87","1.09M","1.02%"
"May 28, 2015","171.86","174.09","175.20","171.40","952.29K","-1.28%"
"May 29, 2015","176.52","172.40","176.96","172.40","1.25M","2.71%"
"Jun 01, 2015","175.87","177.00","179.40","175.50","971.67K","-0.37%"
"Jun 02, 2015","169.32","177.58","177.58","168.37","2.46M","-3.72%"
"Jun 03, 2015","165.85","168.90","169.32","165.15","2.47M","-2.05%"
"Jun 04, 2015","165.61","166.95","167.00","164.04","3.28M","-0.14%"
"Jun 05, 2015","164.46","165.60","168.24","163.90","1.89M","-0.69%"
"Jun 08, 2015","164.62","165.20","165.94","163.22","1.73M","0.10%"
"Jun 09, 2015","164.53","165.00","166.98","163.78","946.63K","-0.05%"
"Jun 10, 2015","166.69","164.56","167.11","164.56","1.12M","1.31%"
"Jun 11, 2015","160.95","167.80","168.65","160.50","2.10M","-3.44%"
"Jun 12, 2015","161.17","159.40","162.18","158.90","1.95M","0.14%"
"Jun 15, 2015","160.91","161.71","162.94","159.65","1.43M","-0.16%"
"Jun 16, 2015","163.18","161.00","163.80","159.22","1.50M","1.41%"
"Jun 17, 2015","163.14","163.50","164.62","162.29","1.37M","-0.02%"
"Jun 18, 2015","164.50","162.00","165.54","161.51","1.77M","0.83%"
"Jun 19, 2015","166.00","165.40","167.00","164.43","1.14M","0.91%"
"Jun 22, 2015","171.76","166.28","172.68","166.28","1.86M","3.47%"
"Jun 23, 2015","173.34","172.60","173.96","171.21","1.20M","0.92%"
"Jun 24, 2015","171.82","171.99","174.68","170.45","1.08M","-0.88%"
"Jun 25, 2015","171.66","171.22","173.00","170.32","871.43K","-0.09%"
"Jun 26, 2015","170.07","171.66","171.66","167.87","2.05M","-0.93%"
"Jun 29, 2015","167.50","165.80","168.00","164.92","1.51M","-1.51%"
"Jun 30, 2015","168.60","167.43","169.11","166.88","1.31M","0.66%"
"Jul 01, 2015","173.44","169.00","174.11","168.40","1.17M","2.87%"
"Jul 02, 2015","173.88","173.98","175.58","173.40","828.02K","0.25%"
"Jul 03, 2015","174.37","174.00","174.98","172.60","746.58K","0.28%"
"Jul 06, 2015","173.94","171.80","174.40","171.03","1.05M","-0.25%"
"Jul 07, 2015","172.33","174.10","175.55","171.30","778.91K","-0.93%"
"Jul 08, 2015","159.47","170.20","170.20","158.49","5.31M","-7.46%"
"Jul 09, 2015","160.10","161.98","164.00","159.34","2.54M","0.40%"
"Jul 10, 2015","161.84","161.40","162.94","161.00","1.29M","1.09%"
"Jul 13, 2015","163.08","163.12","164.10","157.67","2.83M","0.77%"
"Jul 14, 2015","162.41","163.96","164.38","161.21","1.44M","-0.41%"
"Jul 15, 2015","160.90","162.79","163.01","160.25","1.57M","-0.93%"
"Jul 16, 2015","165.90","161.40","167.11","161.08","3.64M","3.11%"
"Jul 17, 2015","164.90","164.80","167.09","162.46","3.03M","-0.60%"
"Jul 20, 2015","163.80","164.41","165.45","162.90","1.48M","-0.67%"
"Jul 21, 2015","161.55","163.40","164.44","161.04","1.29M","-1.37%"
"Jul 22, 2015","164.67","162.00","165.00","160.37","1.41M","1.93%"
"Jul 23, 2015","164.80","164.20","166.32","163.00","1.74M","0.08%"
"Jul 24, 2015","161.73","163.00","165.45","161.20","1.31M","-1.86%"
"Jul 27, 2015","156.92","161.20","161.73","156.45","2.26M","-2.97%"
"Jul 28, 2015","158.93","157.00","159.98","156.90","1.42M","1.28%"
"Jul 29, 2015","163.14","160.78","164.00","159.30","3.94M","2.65%"
"Jul 30, 2015","162.49","164.50","165.14","162.11","1.35M","-0.40%"
"Jul 31, 2015","165.74","163.94","168.00","162.91","1.97M","2.00%"
"Aug 03, 2015","166.34","165.90","168.07","165.00","1.15M","0.36%"
"Aug 04, 2015","167.94","167.00","168.40","165.13","1.78M","0.96%"
"Aug 05, 2015","166.10","168.32","169.19","165.90","817.66K","-1.10%"
"Aug 06, 2015","165.52","167.00","167.20","165.00","814.84K","-0.35%"
"Aug 07, 2015","164.40","166.00","166.00","163.70","590.17K","-0.68%"
"Aug 10, 2015","163.39","164.80","166.80","162.52","846.84K","-0.61%"
"Aug 11, 2015","159.68","164.20","164.64","159.40","1.13M","-2.27%"
"Aug 12, 2015","154.07","159.40","159.40","153.35","1.62M","-3.51%"
